st_abbrev,fips,population,income,hispanic,asian,black,white,foreign,college,density,vets,female,senior,children,st_cnty,state,winner,votes,fraction_votes,total_votes,voter_turnout
NC,37113,33875,37892,6.6,0.8,1.8,89.7,5.1,20.5,65.8,4073,51.4,26.4,18.9,NC_Macon,North Carolina,Hillary Clinton,1548,0.479,2976,0.10832601544264518
NC,37115,21157,38598,2.7,0.5,1.8,93.6,2.5,18.6,46.2,1502,50.3,19.8,19.1,NC_Madison,North Carolina,Bernie Sanders,2044,0.5870000000000001,3245,0.189588544949107
NC,37117,23454,35111,3.6,0.5,42.9,52.2,2.2,11.9,53.1,1691,53.0,20.6,20.7,NC_Martin,North Carolina,Hillary Clinton,2469,0.618,3566,0.1917305114215145
NC,37119,1012539,55444,12.7,5.5,32.2,48.8,13.9,40.7,1755.5,52506,51.9,10.0,24.6,NC_Mecklenburg,North Carolina,Hillary Clinton,71265,0.603,116489,0.15258147583472065
NC,37123,27395,31830,15.2,1.5,19.0,63.7,8.6,15.1,56.5,1794,51.4,18.5,23.2,NC_Montgomery,North Carolina,Hillary Clinton,1366,0.5489999999999999,2251,0.1069899464622498
NC,37125,93077,49544,6.3,1.2,13.0,77.3,5.6,31.3,126.5,10134,52.0,23.8,21.2,NC_Moore,North Carolina,Hillary Clinton,4679,0.588,7627,0.10398846127563505
NC,37127,94357,43084,6.6,1.0,39.4,51.6,4.5,19.2,177.3,6939,51.9,16.4,22.9,NC_Nash,North Carolina,Hillary Clinton,8554,0.6579999999999999,12218,0.16794675551762067
NC,37129,216298,49835,5.4,1.4,14.6,76.9,5.6,36.6,1058.1,17387,52.0,15.8,19.4,NC_New Hanover,North Carolina,Bernie Sanders,12276,0.486,24516,0.1406248483533436
NC,37131,20463,31433,2.0,0.3,58.4,38.3,1.4,9.4,41.2,1427,51.8,23.0,19.0,NC_Northampton,North Carolina,Hillary Clinton,3195,0.684,4262,0.25713377291021494
NC,37133,187589,45450,12.1,2.2,15.8,66.9,4.2,18.0,233.1,22379,45.4,8.4,25.4,NC_Onslow,North Carolina,Hillary Clinton,4560,0.542,7773,0.055544680368126105
NC,37135,140420,55569,8.4,7.7,12.2,69.6,12.8,55.8,336.2,5892,52.2,11.2,20.4,NC_Orange,North Carolina,Bernie Sanders,18096,0.499,35642,0.3188746753279286
NC,37137,12948,43853,3.5,0.6,20.1,74.1,4.1,18.7,39.1,1459,48.7,26.0,16.5,NC_Pamlico,North Carolina,Hillary Clinton,922,0.53,1598,0.14780448371098395
NC,37139,39787,46053,4.7,1.5,37.3,54.9,2.9,20.1,179.2,3941,50.8,15.5,21.6,NC_Pasquotank,North Carolina,Hillary Clinton,2471,0.652,3599,0.11537842070248563
NC,37141,56250,44524,6.4,0.7,16.8,74.4,3.9,21.7,60.0,4856,50.0,17.1,22.5,NC_Pender,North Carolina,Hillary Clinton,2880,0.564,4760,0.1091899641577061
NC,37143,13466,43709,2.3,0.5,24.4,71.4,2.1,18.4,54.4,1595,51.9,24.3,20.3,NC_Perquimans,North Carolina,Hillary Clinton,711,0.514,1192,0.11106553779852824
NC,37145,39132,42317,4.2,0.5,27.3,66.4,2.6,14.7,100.6,2824,51.4,17.5,21.8,NC_Person,North Carolina,Hillary Clinton,2954,0.51,5104,0.16679071399235532
NC,37147,175354,40718,5.9,1.9,34.8,56.2,4.8,28.1,257.9,9662,52.8,11.3,21.9,NC_Pitt,North Carolina,Hillary Clinton,11856,0.57,19404,0.14168522202250997
NC,37149,20357,44745,5.6,0.6,4.5,88.1,4.1,26.9,86.3,2006,52.2,27.5,17.3,NC_Polk,North Carolina,Bernie Sanders,1123,0.487,2222,0.13198505824598034
NC,37151,142778,41208,11.1,1.2,6.3,80.1,6.8,13.8,181.1,10305,50.6,16.1,23.6,NC_Randolph,North Carolina,Hillary Clinton,2969,0.466,5883,0.053931710628421135
NC,37153,45733,32384,6.4,1.0,31.4,57.6,4.2,12.4,98.4,4027,51.1,16.1,23.6,NC_Richmond,North Carolina,Hillary Clinton,2941,0.5710000000000001,4536,0.12982250836090153
NC,37155,134760,29806,8.1,0.8,24.7,26.6,5.6,12.5,141.3,7453,51.6,13.0,25.9,NC_Robeson,North Carolina,Hillary Clinton,8457,0.51,13663,0.1368254414605823
NC,37159,138630,41495,8.2,1.1,16.6,72.9,5.3,17.0,270.7,10374,50.7,16.3,22.8,NC_Rowan,North Carolina,Hillary Clinton,5031,0.527,9000,0.0840945761240922
NC,37161,66600,36334,4.1,0.6,9.9,83.8,2.8,17.0,120.2,5593,51.6,19.5,21.4,NC_Rutherford,North Carolina,Hillary Clinton,2382,0.46,4688,0.08955520405902086
NC,37163,64050,36496,18.4,0.6,27.0,52.2,9.2,12.6,67.1,4359,50.8,16.0,24.7,NC_Sampson,North Carolina,Hillary Clinton,3790,0.657,5344,0.11080320922917748
NC,37165,35576,29592,2.9,0.8,39.2,44.6,2.0,14.3,113.4,2648,50.8,16.1,23.5,NC_Scotland,North Carolina,Hillary Clinton,2671,0.63,3813,0.14010326415252405
NC,37167,60600,42518,3.9,2.0,11.3,81.5,2.9,16.0,153.3,4315,50.2,17.6,21.7,NC_Stanly,North Carolina,Hillary Clinton,2153,0.491,3966,0.08358307095077323
NC,37169,46419,42703,2.9,0.4,4.2,91.4,1.5,13.4,105.6,3175,50.9,19.1,20.0,NC_Stokes,North Carolina,Hillary Clinton,1433,0.478,2752,0.0741075852560374
NC,37171,72968,35641,10.1,0.7,4.1,84.3,5.7,15.0,138.4,4760,51.1,18.9,22.2,NC_Surry,North Carolina,Hillary Clinton,2380,0.475,4584,0.08074814779532191
NC,37173,14274,36094,4.7,0.6,1.3,63.6,2.0,16.3,26.5,1096,51.7,18.5,22.7,NC_Swain,North Carolina,Bernie Sanders,831,0.512,1497,0.1356739952375437
NC,37175,33045,41781,3.2,0.5,4.1,90.3,3.1,27.6,87.4,3710,51.6,28.5,16.4,NC_Transylvania,North Carolina,Bernie Sanders,1954,0.499,3748,0.1356711632173323
